,name,city,content,score,date
25,陆支羽,北京,3.5。1.所有“错过就不再”的爱情，总是戒不掉回忆，逃不过遗憾。2.感慨于刘若英的导演处女作，让我们如此活生生、赤裸裸地触探到自己的漂泊处境，我相信任何有故事的人都难免泪目。3.周冬雨和井柏然着实让我刮目相看，而田壮壮是电影的基调。4.后来的我们，终于什么都有了，可是没有了我们。,还行,2018-04-25
26,眠去,山东青岛,"i miss you, i missed you. 田壮壮才是电影的镇海魂啊。“缘分这事，只要不负对方就好，不负此生，太难了……”人生，全在这封信里了。",还行,2018-04-28
27,茶不思,北京,"奶茶的少女心太尬了。男女主无论什么情况下都能突然开启青春疼痛对白。
怕是对能火的网游有什么误解，整个网吧都在打纪念碑谷。。。。
井柏然很赞！！！！！！！！！！
最后，对不起，还有，谢谢你，你比北京美

哈哈哈，感觉最感人的地方是片尾出现的北京站，总是能想起在那里送走的人。",还行,2018-04-28
28,Your MR.R,山东日照,故事是攒出来的。台词是矫情玛丽苏的。故事的设定是刻意为之的。有故事的人不见得会讲故事。,较差,2018-04-28
29,法兰西胶片,北京,7分，文本底子不算创新，三幕的时间感也略统一，但情感始终是沉甸甸的，多次打破小生光圈，能看到刘若英还是有导演意识的。这是40岁后的她，在努力和40岁前的自己保持距离。2007年恰好也是我关键10年的开始，那一年的一系列波折，我决定不再做导演梦，改入编辑部，只与文字为伍。,推荐,2018-04-23
30,frozenmoon,北京,不知道多少人看过网飞出品的《蓝色杰伊》，这故事确实让我想起那部有关重逢和错失的电影，同样的黑白影调，同样的当下和过去之间的交缠。如果说哪里不好，或许在出租车上向北京喊话的桥段太尴尬，或许男孩儿最后的成功太浮夸，但细节和情感都还好，带着真实生活的蒸汽和茸毛。,推荐,2018-04-28
31,西楼尘,江苏苏州,上九天揽月不难，难的是踏进的车厢没有你；下五洋捉鳖不怕，怕的是后来的结局没有我。我戴上自尊的假发，回到故乡换不回尊重；你留恋幸福的沙发，来到他乡弄丢了幸福。故乡容纳不了灵魂，他乡安置不了肉身。游戏里滚动千句抱歉，现实中只剩沉默。火车停运飞机晚点，现实黑白回忆彩色，最难是不负此生。,还行,2018-05-01
32,林妖,安徽合肥,剧情很散，大部分时间感觉很矫情。大型MV现场？,较差,2018-04-28
33,王大根,北京,是《七月与安生》那挂的文艺片，看的时候边上一堆东北大姐在那里泣不成声……前半部：我日井柏然太帅了吧想跟他在隔断房里疯狂做爱了；后半部：追梦男孩不能沾不能沾，长井柏然那样都不行！男主最后成功的那个游戏核心创意根本就是抄Love You To Bits 的吧……,还行,2018-04-28
34,无耻不混蛋,北京,这是一部拍给所有异乡人看的电影。等了这么多年，终于等来这样的电影。它关乎爱情，却又不仅仅只是爱情，还有怎么也逃不走、化不开的亲情。它告诉我们，什么叫“家人”，什么叫“家”。正是因为“羁绊”与“牵挂”。没了“你”，还有“我”吗？或许所有的“前任”，都是我们永远无法抵达的“乌托邦”。,推荐,2018-04-23
35,尼克Lui,广东广州,垃圾做作的电影 这么多年了还在不断的重复搞这种烂片 大晚上被抓住票房造假 哈哈哈哈哈哈 垃圾怎么包装也是垃圾！,很差,2018-04-28
36,大奇特(Grinch),北京,低配版甜蜜蜜，纽约梦变北漂梦，邓丽君变盗版盘，一趟火车，彩色黑白,较差,2018-04-23
37,盲忙,北京,不止是一个爱情故事，而是追梦过程中的得到与失去，与人生的大是大非相比，爱情是那么微不足道，却又弥足珍贵啊，它发生在特定的时间，地方和特定的人身上，哪一个不对都不行啊。除了周冬雨最后的选择之外，没有太多戏剧化的处理，但也正因为这个不同寻常的选择，将整个文本升华了。,推荐,2018-04-24
38,九只苍蝇撞墙,"Montréal, Canada",虽然不确认和现实中的北漂是否有对等的映照关系，但是这二人起码谈了大陆电影里让人感到有趣的一段恋爱。只是最后不可避免地觉得周冬雨爱上的是田壮壮。,还行,2018-04-28
39,三水涵,四川成都,看电影真的是一件太个人太感性的事 实实在在地被戳中了 就算有瑕疵 也没办法说不好,推荐,2018-04-28
40,frozenmoon,北京,不知道多少人看过网飞出品的《蓝色杰伊》，这故事确实让我想起那部有关重逢和错失的电影，同样的黑白影调，同样的当下和过去之间的交缠。如果说哪里不好，或许在出租车上向北京喊话的桥段太尴尬，或许男孩儿最后的成功太浮夸，但细节和情感都还好，带着真实生活的蒸汽和茸毛。,推荐,2018-04-28
41,西楼尘,江苏苏州,上九天揽月不难，难的是踏进的车厢没有你；下五洋捉鳖不怕，怕的是后来的结局没有我。我戴上自尊的假发，回到故乡换不回尊重；你留恋幸福的沙发，来到他乡弄丢了幸福。故乡容纳不了灵魂，他乡安置不了肉身。游戏里滚动千句抱歉，现实中只剩沉默。火车停运飞机晚点，现实黑白回忆彩色，最难是不负此生。,还行,2018-05-01
42,林妖,安徽合肥,剧情很散，大部分时间感觉很矫情。大型MV现场？,较差,2018-04-28
43,王大根,北京,是《七月与安生》那挂的文艺片，看的时候边上一堆东北大姐在那里泣不成声……前半部：我日井柏然太帅了吧想跟他在隔断房里疯狂做爱了；后半部：追梦男孩不能沾不能沾，长井柏然那样都不行！男主最后成功的那个游戏核心创意根本就是抄Love You To Bits 的吧……,还行,2018-04-28
